Type,Log Entry
Unknown User,Jun 20 09:20:05 combo sshd(pam_unix)[10035]: check pass; user unknown
Auth Failure,Jun 20 09:20:05 combo sshd(pam_unix)[10035]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=65.166.159.14
Unknown User,Jun 20 09:20:05 combo sshd(pam_unix)[10037]: check pass; user unknown
Auth Failure,Jun 20 09:20:05 combo sshd(pam_unix)[10037]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=65.166.159.14
Unknown User,Jun 20 09:20:05 combo sshd(pam_unix)[10039]: check pass; user unknown
Auth Failure,Jun 20 09:20:05 combo sshd(pam_unix)[10039]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=65.166.159.14
Unknown User,Jun 20 09:20:06 combo sshd(pam_unix)[10041]: check pass; user unknown
Auth Failure,Jun 20 09:20:06 combo sshd(pam_unix)[10041]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=65.166.159.14
Unknown User,Jun 20 09:20:07 combo sshd(pam_unix)[10043]: check pass; user unknown
Auth Failure,Jun 20 09:20:07 combo sshd(pam_unix)[10043]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=65.166.159.14
Unknown User,Jun 20 09:20:07 combo sshd(pam_unix)[10045]: check pass; user unknown
Auth Failure,Jun 20 09:20:07 combo sshd(pam_unix)[10045]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=65.166.159.14
Unknown User,Jun 20 09:20:07 combo sshd(pam_unix)[10047]: check pass; user unknown
Auth Failure,Jun 20 09:20:07 combo sshd(pam_unix)[10047]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=65.166.159.14
Unknown User,Jun 20 09:20:07 combo sshd(pam_unix)[10049]: check pass; user unknown
Auth Failure,Jun 20 09:20:07 combo sshd(pam_unix)[10049]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=65.166.159.14
Unknown User,Jun 20 09:20:08 combo sshd(pam_unix)[10051]: check pass; user unknown
Auth Failure,Jun 20 09:20:08 combo sshd(pam_unix)[10051]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=65.166.159.14
Unknown User,Jun 20 09:20:08 combo sshd(pam_unix)[10053]: check pass; user unknown
Auth Failure,Jun 20 09:20:08 combo sshd(pam_unix)[10053]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=65.166.159.14
